date,ticker,close
2021-03-31,AAPL,118.97354888916016
2021-04-01,AAPL,119.80146026611328
2021-04-05,AAPL,122.62602996826172
2021-04-06,AAPL,122.92798614501953
2021-04-07,AAPL,124.57402038574219
2021-04-08,AAPL,126.97007751464844
2021-04-09,AAPL,129.5414276123047
2021-04-12,AAPL,127.82718658447266
2021-04-13,AAPL,130.9342041015625
2021-04-14,AAPL,128.59664916992188
2021-04-15,AAPL,131.0023956298828
2021-04-16,AAPL,130.67124938964844
2021-04-19,AAPL,131.33352661132812
2021-04-20,AAPL,129.64852905273438
2021-04-21,AAPL,130.02841186523438
2021-04-22,AAPL,128.5089874267578
2021-04-23,AAPL,130.82711791992188
2021-04-26,AAPL,131.21669006347656
2021-04-27,AAPL,130.895263671875
2021-04-28,AAPL,130.1063232421875
2021-04-29,AAPL,130.00889587402344
2021-04-30,AAPL,128.0414581298828
2021-05-03,AAPL,129.09335327148438
2021-05-04,AAPL,124.52532958984375
2021-05-05,AAPL,124.76882934570312
2021-05-06,AAPL,126.36618041992188
2021-05-07,AAPL,127.03937530517578
2021-05-10,AAPL,123.76119995117188
2021-05-11,AAPL,122.84408569335938
2021-05-12,AAPL,119.78055572509766
2021-05-13,AAPL,121.927001953125
2021-05-14,AAPL,124.34658813476562
2021-05-17,AAPL,123.19532012939453
2021-05-18,AAPL,121.80989074707031
2021-05-19,AAPL,121.65380859375
2021-05-20,AAPL,124.20999908447266
2021-05-21,AAPL,122.37578582763672
2021-05-24,AAPL,124.0051040649414
2021-05-25,AAPL,123.80997467041016
2021-05-26,AAPL,123.76119995117188
2021-05-27,AAPL,122.22941589355469
2021-05-28,AAPL,121.57575225830078
2021-06-01,AAPL,121.25379180908203
2021-06-02,AAPL,122.01480865478516
2021-06-03,AAPL,120.53178405761719
2021-06-04,AAPL,122.82456970214844
2021-06-07,AAPL,122.83432006835938
2021-06-08,AAPL,123.65386962890625
2021-06-09,AAPL,124.03438568115234
2021-06-10,AAPL,123.03923034667969
2021-06-11,AAPL,124.2490234375
2021-06-14,AAPL,127.30280303955078
