date,ticker,learned_score,learned_label,velocity_zscore,guidance_divergence,prob_sell,prob_buy,prob_hold
2023-12-31 21:00:00,AAPL,0.01139158320892988,2,-0.1115833184552344,False,0.25911676411517065,0.20797691076654154,0.5329063251182878
2024-03-31 21:00:00,AAPL,0.01152166424249661,2,-0.1115429471474689,False,0.25535812163790383,0.20324397704522262,0.5413979013168735
2024-06-30 21:00:00,AAPL,-0.00018742937033850468,2,-0.1152025244153537,False,0.25893550385144015,0.20635281903151464,0.5347116771170453
2024-09-30 21:00:00,AAPL,-0.0026331183519499907,0,-0.11596698449320803,False,0.4427871086133821,0.20871065070411327,0.34850224068250457
2023-12-31 21:00:00,MSFT,0.0008394986516567308,2,-0.11488171689656561,False,0.6012915265161427,0.1960469708413254,0.20266150264253188
2024-03-31 21:00:00,MSFT,-0.0065210661104467115,0,-0.11718177141072326,False,0.6360914408140229,0.1779900066236942,0.18591855256228287
2024-06-30 21:00:00,MSFT,-0.004844211307733467,0,-0.11665692631078414,False,0.6428826471695622,0.174496012138069,0.18262134069236888
2024-09-30 21:00:00,MSFT,-0.0031366833780400428,0,-0.11612337883941273,False,0.63445014996838,0.17869095772965862,0.18685889230196145
2024-12-31 21:00:00,MSFT,-0.005938208291799841,0,-0.11699846078175775,False,0.6020921019503003,0.19752877072091723,0.20037912732878246
2023-12-31 21:00:00,AMZN,0.020820004763516232,1,-0.10864221431810588,False,0.2589365427309231,0.4440686920172204,0.2969947652518566
2024-03-31 21:00:00,AMZN,0.021664479649764177,1,-0.10837878745604933,False,0.2616746608559337,0.44519404370858123,0.2931312954354851
2024-06-30 21:00:00,AMZN,0.019386800815476418,1,-0.10908865320239026,False,0.21940275985268543,0.5328479290933837,0.24774931105393083
2023-12-31 21:00:00,GOOGL,0.07581515168716992,1,-0.09146835700378911,False,0.16403912923264813,0.6571653932884828,0.17879547747886912
2024-03-31 21:00:00,GOOGL,0.07564980513610374,1,-0.09151960365678326,False,0.16946734808553254,0.6523970716179784,0.17813558029648896
2024-06-30 21:00:00,GOOGL,0.0711740277018232,1,-0.09290762028850374,False,0.16731977772046466,0.6537411082320238,0.17893911404751153
2023-12-31 21:00:00,META,0.017455474683797115,2,-0.10969288810935947,False,0.20984609100252916,0.33804649739042497,0.45210741160704576
2024-03-31 21:00:00,META,0.019275337513168206,1,-0.10912512938131345,False,0.19737797744882987,0.49256584050914426,0.3100561820420259
2024-06-30 21:00:00,META,0.018212321205755777,2,-0.10945645354380516,False,0.2127300671022516,0.3328348696295127,0.45443506326823563
2023-12-31 21:00:00,NVDA,0.011327345071841318,2,-0.11160657739735194,False,0.31868370215246455,0.20257149901892757,0.4787447988286079
2024-03-31 21:00:00,NVDA,-0.0005250100576818336,0,-0.11530801956231351,False,0.4928691401196474,0.1867014605548198,0.32042939932553277
2024-06-30 21:00:00,NVDA,-0.004728939229912132,0,-0.116622124118692,False,0.48993872866896193,0.1863294935915606,0.3237317777394775
2024-09-30 21:00:00,NVDA,0.0015658145645182414,2,-0.11465488089784662,False,0.3720004311902463,0.2003684802078443,0.42763108860190946
2024-12-31 21:00:00,NVDA,0.003986980212956317,2,-0.1138991474920106,False,0.2950587732143071,0.19427270036438957,0.5106685264213032
2025-03-31 21:00:00,NVDA,0.0010372144528228082,2,-0.11481998665300798,False,0.2828543237652888,0.18917006025765454,0.5279756159770567
2025-06-30 21:00:00,NVDA,0.002207621206651344,2,-0.11445448063838173,False,0.27449949726193756,0.1931490613083557,0.5323514414297067
