date,ticker,learned_score,learned_label,velocity_zscore,guidance_divergence,prob_sell,prob_buy,prob_hold
2025-10-30 21:00:00,AAPL,-0.013853907734982166,0,-0.3772120658307356,False,0.5796394569335664,0.08452976792124345,0.33583077514519005
2025-07-31 21:00:00,AAPL,-0.012989990186318558,0,-0.37568470799740233,False,0.5853934306749887,0.0846370605527229,0.32996950877228837
2025-05-01 21:00:00,AAPL,-0.008985648088222336,2,-0.3686109119296606,False,0.3949909698337603,0.09528754126042129,0.5097214889058184
2025-01-30 22:00:00,AAPL,-0.009974704957704566,2,-0.3703576723472643,False,0.38869126139912147,0.08281942777944026,0.5284893108214382
2024-10-31 21:00:00,AAPL,-0.012903159465165074,2,-0.37552763426145064,False,0.4055403195443177,0.0883370121679887,0.5061226682876936
2024-08-01 21:00:00,AAPL,-0.01350302242829166,0,-0.3765881193006098,False,0.5705423242316017,0.08649761855486161,0.3429600572135366
2024-05-02 21:00:00,AAPL,-0.014661911743871096,0,-0.37863900218804497,False,0.577880439326744,0.09053535713531298,0.33158420353794305
2024-02-01 22:00:00,AAPL,-0.0068206824272842295,2,-0.3647870942838495,False,0.37634633443498944,0.09706230094428349,0.5265913646207272
2025-07-30 21:30:00,MSFT,0.029375268784085518,2,-0.3009096665503513,False,0.25095836289970475,0.12064454581684785,0.6283970912834473
2025-04-30 21:30:00,MSFT,0.030292149542446106,1,-0.2992911564062386,False,0.2640590008520047,0.1311227746984973,0.6048182244494981
2025-01-29 22:30:00,MSFT,0.029941740371182343,2,-0.29989743388093115,False,0.2517876655043847,0.12501481960013666,0.6231975148954786
2024-10-30 21:30:00,MSFT,0.029851956360250953,2,-0.3000506238120397,False,0.25525873469056504,0.12940851269342651,0.6153327526160084
2024-07-30 21:30:00,MSFT,0.03318629225419767,1,-0.2941811499341585,False,0.27448141699955914,0.14860709069145378,0.5769114923089872
2024-04-25 21:30:00,MSFT,0.035839312129136706,1,-0.2895152325353903,False,0.27894411593792257,0.15327491487134365,0.5677809691907337
2024-01-30 22:30:00,MSFT,0.03262631285689906,1,-0.29517551604346104,False,0.2787594022112351,0.18511398478507432,0.5361266130036906
